character, ancient,ancient_bonus,winrate,pickrate
IRONCLAD,TEZCATARA,NUTRITIOUS_SOUP,1.0,0.5
IRONCLAD,OROBAS,SILENT,1.0,0.5
IRONCLAD,VAKUU,BLOOD_SOAKED_ROSE,0.0,0.0
IRONCLAD,VAKUU,SERE_TALON,0.0,0.0
IRONCLAD,DARV,DUSTY_TOME,0.0,0.5
IRONCLAD,NEOW,LOST_COFFER,0.0,0.0
IRONCLAD,NEOW,SILVER_CRUCIBLE,0.0,0.0
IRONCLAD,NEOW,WINGED_BOOTS,0.0,0.0
IRONCLAD,OROBAS,RADIANT_PEARL,0.0,0.0
IRONCLAD,NONUPEIPE,JEWELRY_BOX,0.0,0.0
IRONCLAD,VAKUU,JEWELED_MASK,0.0,0.5
IRONCLAD,TEZCATARA,TOASTY_MITTENS,0.0,0.0
IRONCLAD,TANX,CROSSBOW,0.0,0.0
IRONCLAD,OROBAS,GLASS_EYE,0.0,0.0
IRONCLAD,TEZCATARA,GOLDEN_COMPASS,0.0,0.0
IRONCLAD,NONUPEIPE,BRILLIANT_SCARF,1.0,0.5
IRONCLAD,NEOW,CURSED_PEARL,0.0,0.0
IRONCLAD,NEOW,NEOWS_BONES,0.0,0.29
IRONCLAD,OROBAS,ELECTRIC_SHRYMP,0.0,0.0
IRONCLAD,NEOW,STONE_HUMIDIFIER,0.0,0.0
IRONCLAD,NEOW,ARCANE_SCROLL,0.0,0.33
IRONCLAD,NEOW,SCROLL_BOXES,0.0,0.0
IRONCLAD,TANX,MEAT_CLEAVER,0.0,0.0
IRONCLAD,TEZCATARA,VERY_HOT_COCOA,1.0,0.5
IRONCLAD,PAEL,PAELS_LEGION,0.0,0.0
IRONCLAD,TANX,CLAWS,0.0,0.0
IRONCLAD,NEOW,PHIAL_HOLSTER,0.0,0.5
IRONCLAD,OROBAS,TOUCH_OF_OROBAS,0.5,0.33
IRONCLAD,PAEL,PAELS_CLAW,0.5,0.5
IRONCLAD,NONUPEIPE,DELICATE_FROND,0.0,0.0
IRONCLAD,TANX,IRON_CLUB,1.0,0.5
IRONCLAD,NEOW,NUTRITIOUS_OYSTER,0.0,0.0
IRONCLAD,NEOW,NEW_LEAF,0.0,0.33
IRONCLAD,PAEL,PAELS_BLOOD,0.0,0.0
IRONCLAD,NEOW,POMANDER,0.0,0.0
IRONCLAD,TANX,TANXS_WHISTLE,0.0,0.0
IRONCLAD,VAKUU,LORDS_PARASOL,1.0,0.5
IRONCLAD,NEOW,SMALL_CAPSULE,0.0,0.29
IRONCLAD,NEOW,NEOWS_TALISMAN,0.0,0.33
IRONCLAD,NEOW,PRECISE_SCISSORS,0.0,0.33
IRONCLAD,NEOW,HEFTY_TABLET,0.0,0.17
IRONCLAD,NEOW,GOLDEN_PEARL,1.0,0.25
IRONCLAD,DARV,RUNIC_PYRAMID,0.0,0.0
IRONCLAD,OROBAS,SAND_CASTLE,0.0,0.0
IRONCLAD,TANX,SPIKED_GAUNTLETS,1.0,0.5
IRONCLAD,TEZCATARA,BIIIG_HUG,0.0,0.0
IRONCLAD,NEOW,LEAD_PAPERWEIGHT,0.25,0.44
IRONCLAD,TANX,TRI_BOOMERANG,1.0,0.5
IRONCLAD,OROBAS,DRIFTWOOD,0.0,0.4
IRONCLAD,PAEL,PAELS_HORN,0.0,0.0
IRONCLAD,NEOW,BOOMING_CONCH,0.0,0.0
IRONCLAD,OROBAS,ARCHAIC_TOOTH,1.0,0.33
IRONCLAD,DARV,CALLING_BELL,0.0,0.0
IRONCLAD,VAKUU,PRESERVED_FOG,0.0,0.0
IRONCLAD,PAEL,PAELS_TOOTH,1.0,0.5
IRONCLAD,TEZCATARA,SEAL_OF_GOLD,0.0,0.0
IRONCLAD,VAKUU,WHISPERING_EARRING,0.0,0.0
IRONCLAD,VAKUU,MUSIC_BOX,1.0,0.5
IRONCLAD,NEOW,LAVA_ROCK,0.0,0.0
IRONCLAD,NEOW,LARGE_CAPSULE,0.5,0.4
IRONCLAD,NEOW,LEAFY_POULTICE,0.33,0.43
IRONCLAD,NEOW,NEOWS_TORMENT,0.0,0.5
IRONCLAD,NEOW,PRECARIOUS_SHEARS,0.67,0.5
SILENT,TEZCATARA,NUTRITIOUS_SOUP,0.0,0.0
SILENT,VAKUU,BLOOD_SOAKED_ROSE,0.0,0.0
SILENT,TEZCATARA,YUMMY_COOKIE,1.0,0.5
SILENT,VAKUU,SERE_TALON,0.0,0.0
SILENT,NEOW,LOST_COFFER,0.0,0.0
SILENT,NONUPEIPE,LOOMING_FRUIT,0.0,0.0
SILENT,NEOW,SILVER_CRUCIBLE,0.0,0.0
SILENT,NEOW,WINGED_BOOTS,0.0,0.0
SILENT,TEZCATARA,STORYBOOK,0.0,0.0
SILENT,VAKUU,JEWELED_MASK,0.0,0.0
SILENT,NONUPEIPE,DIAMOND_DIADEM,0.0,0.0
SILENT,TEZCATARA,TOASTY_MITTENS,0.0,0.0
SILENT,NONUPEIPE,GLITTER,1.0,0.5
SILENT,TANX,CROSSBOW,0.0,0.0
SILENT,NONUPEIPE,SIGNET_RING,1.0,0.5
SILENT,VAKUU,FIDDLE,0.0,0.0
SILENT,TEZCATARA,GOLDEN_COMPASS,0.0,0.33
SILENT,NEOW,CURSED_PEARL,0.0,0.5
SILENT,NEOW,STONE_HUMIDIFIER,0.0,0.33
SILENT,NEOW,SCROLL_BOXES,0.0,0.29
SILENT,NEOW,ARCANE_SCROLL,0.33,0.43
SILENT,TANX,CLAWS,0.0,0.0
