character,card,pick winrate,pick rate, pick elo, win contribution,pick winrate upgraded,pick rate upgraded, pick elo upgraded, win contribution upgraded
IRONCLAD,DECAY,0.0,0.0,0,0.01,0.0,0.0,0,0.0
IRONCLAD,INFERNAL_BLADE,0.33,0.27,74,0.0,1.0,0.5,56,0.03
IRONCLAD,THUNDERCLAP,0.13,0.27,177,-0.03,1.0,0.33,45,0.03
IRONCLAD,BLOODLETTING,0.25,0.24,177,-0.02,1.0,0.43,77,0.05
IRONCLAD,SHRUG_IT_OFF,0.38,0.3,193,0.08,0.5,0.4,50,0.03
IRONCLAD,SPOILS_MAP,0.0,0.0,0,-0.01,0.0,0.0,0,0.0
IRONCLAD,DARK_EMBRACE,1.0,0.25,61,0.0,0.0,0.0,1,0.05
IRONCLAD,POMMEL_STRIKE,0.44,0.24,233,-0.03,0.0,0.0,1,0.07
IRONCLAD,CASCADE,1.0,0.2,32,0.0,1.0,0.5,32,0.01
IRONCLAD,SCRAWL,0.0,0.0,0,0.01,0.0,0.0,0,0.0
IRONCLAD,BRAND,0.5,0.4,32,0.01,0.0,0.0,1,0.0
IRONCLAD,VICIOUS,0.67,0.3,90,0.01,0.0,0.0,1,0.02
IRONCLAD,NOT_YET,0.5,0.4,62,0.01,0.0,0.0,1,0.0
IRONCLAD,FLASH_OF_STEEL,0.0,0.5,32,0.0,0.0,0.0,1,0.0
IRONCLAD,COLOSSUS,0.5,0.44,114,0.02,1.0,0.5,28,0.02
IRONCLAD,JUGGERNAUT,0.0,0.0,1,0.0,0.0,0.0,1,0.0
IRONCLAD,SWORD_BOOMERANG,1.0,0.05,32,0.0,1.0,0.4,61,0.05
IRONCLAD,TEAR_ASUNDER,0.33,0.38,89,0.01,0.0,0.0,1,0.0
IRONCLAD,FEED,0.5,0.5,61,0.0,0.0,0.0,1,0.02
IRONCLAD,STONE_ARMOR,1.0,0.33,32,0.0,0.0,0.5,63,0.01
IRONCLAD,TRUE_GRIT,0.43,0.28,175,-0.01,1.0,0.25,25,0.06
IRONCLAD,INFLAME,0.5,0.25,62,0.01,1.0,0.5,31,0.02
IRONCLAD,BATTLE_TRANCE,0.4,0.28,132,0.0,1.0,0.5,29,0.06
IRONCLAD,PRIMAL_FORCE,0.0,0.0,1,0.02,0.0,0.0,1,0.0
IRONCLAD,BURNING_PACT,0.0,0.26,82,-0.02,0.0,0.5,25,0.01
IRONCLAD,FORGOTTEN_RITUAL,0.0,0.25,60,-0.01,1.0,0.5,29,0.01
IRONCLAD,REGRET,0.0,0.0,0,0.0,0.0,0.0,0,0.0
IRONCLAD,BULLY,0.2,0.38,121,-0.03,0.0,0.0,1,0.02
IRONCLAD,UNRELENTING,0.4,0.31,129,-0.01,0.0,0.0,1,0.02
IRONCLAD,RAMPAGE,0.0,0.09,32,0.0,0.0,0.0,1,-0.01
IRONCLAD,FEEL_NO_PAIN,0.5,0.5,62,0.01,1.0,0.5,30,0.05
