character,monster,type,act name, act,avg damage, avg fight duration
IRONCLAD,ENCOUNTER.FUZZY_WURM_CRAWLER_WEAK,monster,ACT.OVERGROWTH,1,7.11,4.44
IRONCLAD,ENCOUNTER.THIEVING_HOPPER_WEAK,monster,ACT.HIVE,2,18.71,3.71
IRONCLAD,ENCOUNTER.GREMLIN_MERC_NORMAL,monster,ACT.UNDERDOCKS,1,3.5,3.0
IRONCLAD,ENCOUNTER.FLYCONID_NORMAL,monster,ACT.OVERGROWTH,1,12.67,5.0
IRONCLAD,ENCOUNTER.SEWER_CLAM_NORMAL,monster,ACT.UNDERDOCKS,1,7.0,5.0
IRONCLAD,ENCOUNTER.KNIGHTS_ELITE,elite,ACT.GLORY,3,15.57,4.29
IRONCLAD,ENCOUNTER.CHOMPERS_NORMAL,monster,ACT.HIVE,2,13.33,4.33
IRONCLAD,ENCOUNTER.TOADPOLES_WEAK,monster,ACT.UNDERDOCKS,1,8.22,4.11
IRONCLAD,ENCOUNTER.NIBBITS_WEAK,monster,ACT.OVERGROWTH,1,8.1,3.9
IRONCLAD,ENCOUNTER.PHROG_PARASITE_ELITE,elite,ACT.OVERGROWTH,1,20.91,5.64
IRONCLAD,ENCOUNTER.SHRINKER_BEETLE_WEAK,monster,ACT.OVERGROWTH,1,4.5,4.83
IRONCLAD,ENCOUNTER.AXEBOTS_NORMAL,monster,ACT.GLORY,3,16.0,7.0
IRONCLAD,ENCOUNTER.SLUDGE_SPINNER_WEAK,monster,ACT.UNDERDOCKS,1,6.2,4.8
IRONCLAD,ENCOUNTER.MYTES_NORMAL,monster,ACT.HIVE,2,11.0,4.0
IRONCLAD,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,boss,ACT.UNDERDOCKS,1,7.33,8.0
IRONCLAD,ENCOUNTER.QUEEN_BOSS,boss,ACT.GLORY,3,24.83,6.83
IRONCLAD,ENCOUNTER.FOGMOG_NORMAL,monster,ACT.OVERGROWTH,1,8.0,3.0
IRONCLAD,ENCOUNTER.INKLETS_NORMAL,monster,ACT.OVERGROWTH,1,21.67,5.0
IRONCLAD,ENCOUNTER.TERROR_EEL_ELITE,elite,ACT.UNDERDOCKS,1,24.67,5.42
IRONCLAD,ENCOUNTER.SCROLLS_OF_BITING_WEAK,monster,ACT.GLORY,3,8.33,3.33
IRONCLAD,ENCOUNTER.VINE_SHAMBLER_NORMAL,monster,ACT.OVERGROWTH,1,23.0,5.0
IRONCLAD,ENCOUNTER.HUNTER_KILLER_NORMAL,monster,ACT.HIVE,2,29.0,6.0
IRONCLAD,ENCOUNTER.AEONGLASS_BOSS,boss,ACT.GLORY,3,30.0,8.0
IRONCLAD,ENCOUNTER.BYGONE_EFFIGY_ELITE,elite,ACT.OVERGROWTH,1,17.1,4.5
IRONCLAD,ENCOUNTER.MAWLER_NORMAL,monster,ACT.OVERGROWTH,1,9.5,4.5
IRONCLAD,ENCOUNTER.WATERFALL_GIANT_BOSS,boss,ACT.UNDERDOCKS,1,20.5,9.0
IRONCLAD,ENCOUNTER.SEAPUNK_WEAK,monster,ACT.UNDERDOCKS,1,9.13,4.25
IRONCLAD,ENCOUNTER.CEREMONIAL_BEAST_BOSS,boss,ACT.OVERGROWTH,1,33.57,7.71
IRONCLAD,ENCOUNTER.LOUSE_PROGENITOR_NORMAL,monster,ACT.HIVE,2,19.0,4.0
IRONCLAD,ENCOUNTER.OWL_MAGISTRATE_NORMAL,monster,ACT.GLORY,3,23.0,4.0
IRONCLAD,ENCOUNTER.SLIMES_NORMAL,monster,ACT.OVERGROWTH,1,3.0,3.0
IRONCLAD,ENCOUNTER.KAISER_CRAB_BOSS,boss,ACT.HIVE,2,31.25,7.25
IRONCLAD,ENCOUNTER.TUNNELER_WEAK,monster,ACT.HIVE,2,8.25,3.5
IRONCLAD,ENCOUNTER.BYRDONIS_ELITE,elite,ACT.OVERGROWTH,1,30.0,4.18
IRONCLAD,ENCOUNTER.DEVOTED_SCULPTOR_WEAK,monster,ACT.GLORY,3,4.4,2.8
IRONCLAD,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,boss,ACT.HIVE,2,37.25,7.5
IRONCLAD,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,elite,ACT.UNDERDOCKS,1,18.6,5.6
IRONCLAD,ENCOUNTER.SNAPPING_JAXFRUIT_NORMAL,monster,ACT.OVERGROWTH,1,17.0,4.67
IRONCLAD,ENCOUNTER.DECIMILLIPEDE_ELITE,elite,ACT.HIVE,2,20.0,4.0
IRONCLAD,ENCOUNTER.FOSSIL_STALKER_NORMAL,monster,ACT.UNDERDOCKS,1,10.0,2.5
IRONCLAD,ENCOUNTER.TURRET_OPERATOR_WEAK,monster,ACT.GLORY,3,8.17,3.33
IRONCLAD,ENCOUNTER.THE_LOST_AND_FORGOTTEN_NORMAL,monster,ACT.GLORY,3,4.5,4.5
IRONCLAD,ENCOUNTER.SEAPUNK_NORMAL,monster,ACT.UNDERDOCKS,1,29.33,6.33
IRONCLAD,ENCOUNTER.SLITHERING_STRANGLER_NORMAL,monster,ACT.OVERGROWTH,1,23.0,4.0
IRONCLAD,ENCOUNTER.TEST_SUBJECT_BOSS,boss,ACT.GLORY,3,43.4,9.2
IRONCLAD,ENCOUNTER.DOORMAKER_BOSS,boss,ACT.GLORY,3,43.0,8.0
IRONCLAD,ENCOUNTER.BOWLBUGS_WEAK,monster,ACT.HIVE,2,12.0,3.0
IRONCLAD,ENCOUNTER.EXOSKELETONS_WEAK,monster,ACT.HIVE,2,6.0,4.2
IRONCLAD,ENCOUNTER.SPINY_TOAD_NORMAL,monster,ACT.HIVE,2,10.75,4.5
IRONCLAD,ENCOUNTER.SOUL_FYSH_BOSS,boss,ACT.UNDERDOCKS,1,23.33,8.67
IRONCLAD,ENCOUNTER.CORPSE_SLUGS_WEAK,monster,ACT.UNDERDOCKS,1,5.56,4.22
IRONCLAD,ENCOUNTER.THE_OBSCURA_NORMAL,monster,ACT.HIVE,2,8.5,3.5
IRONCLAD,ENCOUNTER.SLIMES_WEAK,monster,ACT.OVERGROWTH,1,7.1,4.4
IRONCLAD,ENCOUNTER.CULTISTS_NORMAL,monster,ACT.UNDERDOCKS,1,9.67,5.0
IRONCLAD,ENCOUNTER.CONSTRUCT_MENAGERIE_NORMAL,monster,ACT.GLORY,3,6.0,4.0
IRONCLAD,ENCOUNTER.HAUNTED_SHIP_NORMAL,monster,ACT.UNDERDOCKS,1,6.33,3.83
IRONCLAD,ENCOUNTER.MECHA_KNIGHT_ELITE,elite,ACT.GLORY,3,12.2,4.8
IRONCLAD,ENCOUNTER.NIBBITS_NORMAL,monster,ACT.OVERGROWTH,1,3.0,5.0
IRONCLAD,ENCOUNTER.RUBY_RAIDERS_NORMAL,monster,ACT.OVERGROWTH,1,15.0,4.0
IRONCLAD,ENCOUNTER.SKULKING_COLONY_ELITE,elite,ACT.UNDERDOCKS,1,23.38,6.63
IRONCLAD,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,monster,ACT.HIVE,2,16.0,6.0
IRONCLAD,ENCOUNTER.SOUL_NEXUS_ELITE,elite,ACT.GLORY,3,20.75,4.75
IRONCLAD,ENCOUNTER.CORPSE_SLUGS_NORMAL,monster,ACT.UNDERDOCKS,1,23.0,5.5
IRONCLAD,ENCOUNTER.FABRICATOR_NORMAL,monster,ACT.GLORY,3,19.0,2.0
