character, relic ,winrate
IRONCLAD,DRIFTWOOD,0.0
IRONCLAD,LARGE_CAPSULE,0.5
IRONCLAD,BLOOD_VIAL,1.0
IRONCLAD,REGAL_PILLOW,0.67
IRONCLAD,PAELS_TOOTH,1.0
IRONCLAD,ARCHAIC_TOOTH,1.0
IRONCLAD,DINGY_RUG,0.0
IRONCLAD,LANTERN,0.8
IRONCLAD,GNARLED_HAMMER,1.0
IRONCLAD,AKABEKO,0.0
IRONCLAD,LORDS_PARASOL,1.0
IRONCLAD,FORGOTTEN_SOUL,1.0
IRONCLAD,SCREAMING_FLAGON,1.0
IRONCLAD,BAG_OF_PREPARATION,0.8
IRONCLAD,LETTER_OPENER,0.5
IRONCLAD,BRONZE_SCALES,1.0
IRONCLAD,FAKE_MANGO,1.0
IRONCLAD,FESTIVE_POPPER,1.0
IRONCLAD,VENERABLE_TEA_SET,0.0
IRONCLAD,VEXING_PUZZLEBOX,0.5
IRONCLAD,PEN_NIB,1.0
IRONCLAD,MINIATURE_CANNON,0.0
IRONCLAD,LUCKY_FYSH,0.25
IRONCLAD,RIPPLE_BASIN,1.0
IRONCLAD,ART_OF_WAR,1.0
IRONCLAD,TUNGSTEN_ROD,1.0
IRONCLAD,KUSARIGAMA,0.25
IRONCLAD,PRECISE_SCISSORS,0.0
IRONCLAD,PERMAFROST,0.67
IRONCLAD,IRON_CLUB,1.0
IRONCLAD,VAJRA,0.67
IRONCLAD,PETRIFIED_TOAD,0.0
IRONCLAD,CLOAK_CLASP,1.0
IRONCLAD,UNSETTLING_LAMP,0.33
IRONCLAD,TOUCH_OF_OROBAS,0.5
IRONCLAD,HORN_CLEAT,0.0
IRONCLAD,FRAGRANT_MUSHROOM,1.0
IRONCLAD,SPARKLING_ROUGE,1.0
IRONCLAD,PARRYING_SHIELD,0.0
IRONCLAD,RED_SKULL,0.5
IRONCLAD,GORGET,0.75
IRONCLAD,WAR_PAINT,1.0
IRONCLAD,CHOSEN_CHEESE,0.38
IRONCLAD,SEA_GLASS,1.0
IRONCLAD,RAZOR_TOOTH,1.0
IRONCLAD,RAINBOW_RING,1.0
IRONCLAD,FAKE_LEES_WAFFLE,1.0
IRONCLAD,RED_MASK,0.5
IRONCLAD,STURDY_CLAMP,0.0
IRONCLAD,BREAD,1.0
IRONCLAD,REPTILE_TRINKET,1.0
IRONCLAD,SWORD_OF_JADE,1.0
IRONCLAD,CENTENNIAL_PUZZLE,0.5
IRONCLAD,SPIKED_GAUNTLETS,1.0
IRONCLAD,JEWELED_MASK,0.0
IRONCLAD,GOLDEN_PEARL,1.0
IRONCLAD,KUNAI,1.0
IRONCLAD,BAG_OF_MARBLES,0.33
IRONCLAD,STRAWBERRY,0.0
IRONCLAD,WHETSTONE,1.0
IRONCLAD,PRECARIOUS_SHEARS,0.67
IRONCLAD,MUSIC_BOX,1.0
IRONCLAD,POTION_BELT,0.5
IRONCLAD,NEOWS_TORMENT,0.0
IRONCLAD,ORICHALCUM,0.75
IRONCLAD,LEAD_PAPERWEIGHT,0.2
IRONCLAD,MERCURY_HOURGLASS,1.0
IRONCLAD,WONGOS_MYSTERY_TICKET,1.0
IRONCLAD,SELF_FORMING_CLAY,0.0
IRONCLAD,INTIMIDATING_HELMET,1.0
IRONCLAD,BELLOWS,0.5
IRONCLAD,DUSTY_TOME,0.0
IRONCLAD,PLANISPHERE,0.0
IRONCLAD,TINY_MAILBOX,0.67
IRONCLAD,MEMBERSHIP_CARD,0.0
IRONCLAD,PAELS_CLAW,0.5
IRONCLAD,TOOLBOX,0.5
IRONCLAD,BURNING_BLOOD,0.25
IRONCLAD,HAPPY_FLOWER,0.67
IRONCLAD,ORNAMENTAL_FAN,0.67
IRONCLAD,NUTRITIOUS_SOUP,1.0
IRONCLAD,BING_BONG,0.0
IRONCLAD,PHIAL_HOLSTER,0.0
IRONCLAD,CHARONS_ASHES,0.0
IRONCLAD,NEW_LEAF,0.0
IRONCLAD,PENDULUM,0.0
IRONCLAD,KIFUDA,1.0
IRONCLAD,NEOWS_BONES,0.0
IRONCLAD,HEFTY_TABLET,0.0
IRONCLAD,ORRERY,1.0
IRONCLAD,FAKE_VENERABLE_TEA_SET,1.0
IRONCLAD,STONE_CRACKER,1.0
IRONCLAD,ETERNAL_FEATHER,0.33
IRONCLAD,FAKE_ANCHOR,1.0
IRONCLAD,JUZU_BRACELET,0.5
IRONCLAD,NEOWS_TALISMAN,0.0
IRONCLAD,BOWLER_HAT,0.0
IRONCLAD,TRI_BOOMERANG,1.0
IRONCLAD,GREMLIN_HORN,0.25
IRONCLAD,TOXIC_EGG,0.5
IRONCLAD,SMALL_CAPSULE,0.0
IRONCLAD,ANCHOR,0.0
IRONCLAD,LEAFY_POULTICE,0.33
IRONCLAD,AMETHYST_AUBERGINE,0.5
IRONCLAD,BOOK_OF_FIVE_RINGS,1.0
IRONCLAD,NUNCHAKU,0.5
IRONCLAD,STRIKE_DUMMY,1.0
IRONCLAD,ARCANE_SCROLL,0.0
IRONCLAD,VERY_HOT_COCOA,1.0
IRONCLAD,PEAR,0.5
IRONCLAD,FAKE_HAPPY_FLOWER,1.0
IRONCLAD,MEAL_TICKET,0.67
IRONCLAD,BLACK_BLOOD,0.5
IRONCLAD,MANGO,1.0
IRONCLAD,PAPER_PHROG,0.5
IRONCLAD,THE_COURIER,1.0
IRONCLAD,BRILLIANT_SCARF,1.0
IRONCLAD,BEATING_REMNANT,0.0
IRONCLAD,WHITE_STAR,1.0
IRONCLAD,ODDLY_SMOOTH_STONE,0.75
SILENT,GIRYA,0.0
SILENT,BLOOD_VIAL,0.56
SILENT,REGAL_PILLOW,0.5
SILENT,PAELS_TOOTH,1.0
SILENT,FROZEN_EGG,1.0
SILENT,DINGY_RUG,1.0
SILENT,LANTERN,0.5
SILENT,MINIATURE_TENT,1.0
SILENT,GNARLED_HAMMER,1.0
SILENT,AKABEKO,0.0
SILENT,BIIIG_HUG,0.0
SILENT,KALEIDOSCOPE,0.0
SILENT,LORDS_PARASOL,1.0
SILENT,BAG_OF_PREPARATION,0.67
SILENT,LETTER_OPENER,1.0
SILENT,BRONZE_SCALES,0.33
SILENT,FAKE_MANGO,1.0
SILENT,FESTIVE_POPPER,1.0
SILENT,VENERABLE_TEA_SET,0.67
SILENT,PEN_NIB,1.0
SILENT,MINIATURE_CANNON,0.5
SILENT,HELICAL_DART,0.5
SILENT,LUCKY_FYSH,1.0
SILENT,RIPPLE_BASIN,0.5
SILENT,PRECISE_SCISSORS,0.0
SILENT,SWORD_OF_STONE,0.0
SILENT,VAJRA,0.5
SILENT,PETRIFIED_TOAD,0.5
SILENT,CLOAK_CLASP,0.33
SILENT,SCROLL_BOXES,0.0
SILENT,LAVA_ROCK,0.0
SILENT,WHISPERING_EARRING,0.0
SILENT,SPARKLING_ROUGE,1.0
SILENT,FRAGRANT_MUSHROOM,1.0
SILENT,LEES_WAFFLE,1.0
SILENT,PARRYING_SHIELD,0.0
SILENT,GLITTER,1.0
SILENT,WAR_PAINT,0.75
SILENT,CHOSEN_CHEESE,0.2
SILENT,GORGET,1.0
SILENT,RAINBOW_RING,0.5
SILENT,SNECKO_SKULL,0.0
SILENT,FAKE_ORICHALCUM,1.0
SILENT,FAKE_LEES_WAFFLE,1.0
SILENT,RED_MASK,0.5
SILENT,YUMMY_COOKIE,1.0
SILENT,TWISTED_FUNNEL,0.0
SILENT,REPTILE_TRINKET,1.0
SILENT,SWORD_OF_JADE,0.0
SILENT,CENTENNIAL_PUZZLE,0.6
SILENT,GOLDEN_PEARL,0.0
SILENT,KUNAI,0.67
SILENT,STONE_HUMIDIFIER,0.0
SILENT,BAG_OF_MARBLES,0.5
SILENT,STRAWBERRY,0.5
SILENT,WHETSTONE,0.75
SILENT,PRECARIOUS_SHEARS,0.25
SILENT,SHURIKEN,1.0
SILENT,POTION_BELT,0.0
SILENT,GOLDEN_COMPASS,0.0
SILENT,TUNING_FORK,1.0
SILENT,ORICHALCUM,1.0
SILENT,SIGNET_RING,1.0
SILENT,RING_OF_THE_SNAKE,0.22
SILENT,BELLOWS,1.0
SILENT,CHEMICAL_X,0.5
SILENT,TINY_MAILBOX,1.0
SILENT,TOOLBOX,0.0
SILENT,UNCEASING_TOP,1.0
SILENT,MEAT_ON_THE_BONE,0.0
SILENT,POLLINOUS_CORE,0.0
SILENT,HAPPY_FLOWER,1.0
SILENT,ORNAMENTAL_FAN,0.0
SILENT,FAKE_STRIKE_DUMMY,1.0
SILENT,BING_BONG,0.0
