run id,character,won,floor reached,death cause, act1, act2, act3
0,IRONCLAD,0,17,ENCOUNTER.CEREMONIAL_BEAST_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
1,IRONCLAD,0,17,ENCOUNTER.CEREMONIAL_BEAST_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
2,SILENT,0,7,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
3,SILENT,0,7,ENCOUNTER.PHANTASMAL_GARDENERS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
4,REGENT,0,7,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
5,REGENT,0,7,ENCOUNTER.BYGONE_EFFIGY_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
6,NECROBINDER,0,33,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
7,NECROBINDER,0,33,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
8,DEFECT,0,15,ENCOUNTER.BYRDONIS_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
9,DEFECT,0,15,ENCOUNTER.BYRDONIS_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
10,IRONCLAD,0,25,ENCOUNTER.INFESTED_PRISMS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
11,IRONCLAD,0,25,ENCOUNTER.INFESTED_PRISMS_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
12,SILENT,0,7,ENCOUNTER.PHROG_PARASITE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
13,SILENT,0,7,ENCOUNTER.PHROG_PARASITE_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
14,REGENT,0,17,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
15,REGENT,0,17,ENCOUNTER.LAGAVULIN_MATRIARCH_BOSS,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
16,NECROBINDER,0,17,ENCOUNTER.VANTOM_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
17,NECROBINDER,0,17,ENCOUNTER.VANTOM_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
18,DEFECT,0,11,ENCOUNTER.TERROR_EEL_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
19,DEFECT,0,11,ENCOUNTER.TERROR_EEL_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
20,IRONCLAD,0,8,ENCOUNTER.SKULKING_COLONY_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
21,SILENT,0,11,ENCOUNTER.TERROR_EEL_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
22,REGENT,0,24,ENCOUNTER.ENTOMANCER_ELITE,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
23,NECROBINDER,0,25,ENCOUNTER.ENTOMANCER_ELITE,ACT.UNDERDOCKS,ACT.HIVE,ACT.GLORY
24,DEFECT,0,33,ENCOUNTER.KAISER_CRAB_BOSS,ACT.OVERGROWTH,ACT.HIVE,ACT.GLORY
